# Two Dipoles from onedisk
# Commit: 2026-06-04-2-g5a5da60-dirty
# KinematicViscosity: 0
# TauMode: Dynamic τ_i = 1/Σ_n exp(-ξ²)
# Date: 2026-06-10 04:21:57
time,d1_rx,d1_ry,d1_rz,d1_mx,d1_my,d1_mz,d2_rx,d2_ry,d2_rz,d2_mx,d2_my,d2_mz,sum_zeta_square
79.999998,-0.393222,0.931406,0.615351,-0.990493,0.013069,0.062240,-0.380765,0.784211,0.614752,0.949493,0.069931,0.002760,1.891557
80.499998,-0.397147,0.936243,0.619238,-0.989191,-0.006354,0.062157,-0.381692,0.789249,0.618547,0.948191,0.089354,0.002843,1.889462
80.999998,-0.401071,0.941050,0.623124,-0.987499,-0.025735,0.062062,-0.382620,0.794317,0.622342,0.946499,0.108735,0.002938,1.887359
81.499998,-0.404994,0.945827,0.627011,-0.985417,-0.045068,0.061955,-0.383552,0.799416,0.626137,0.944417,0.128068,0.003045,1.885250
81.999998,-0.408915,0.950574,0.630897,-0.982947,-0.064343,0.061836,-0.384487,0.804545,0.629932,0.941947,0.147343,0.003164,1.883133
82.499998,-0.412833,0.955291,0.634783,-0.980091,-0.083554,0.061705,-0.385426,0.809705,0.633728,0.939091,0.166554,0.003295,1.881009
82.999998,-0.416747,0.959977,0.638668,-0.976850,-0.102691,0.061563,-0.386369,0.814894,0.637523,0.935850,0.185691,0.003437,1.878879
83.499998,-0.420658,0.964633,0.642554,-0.973226,-0.121749,0.061409,-0.387318,0.820114,0.641319,0.932226,0.204749,0.003591,1.876742
83.999998,-0.424565,0.969260,0.646439,-0.969220,-0.140718,0.061243,-0.388273,0.825364,0.645115,0.928220,0.223718,0.003757,1.874597
84.499998,-0.428467,0.973856,0.650324,-0.964836,-0.159591,0.061065,-0.389234,0.830644,0.648911,0.923836,0.242591,0.003935,1.872447
84.999998,-0.432363,0.978422,0.654209,-0.960075,-0.178360,0.060876,-0.390202,0.835953,0.652707,0.919075,0.261360,0.004124,1.870289
85.499998,-0.436252,0.982959,0.658093,-0.954940,-0.197019,0.060676,-0.391177,0.841293,0.656504,0.913940,0.280019,0.004324,1.868125
85.999998,-0.440135,0.987466,0.661977,-0.949433,-0.215559,0.060464,-0.392161,0.846661,0.660300,0.908433,0.298559,0.004536,1.865955
86.499998,-0.444011,0.991943,0.665861,-0.943557,-0.233973,0.060242,-0.393154,0.852059,0.664097,0.902557,0.316973,0.004758,1.863778
